City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,7.81,57,20,1.03,AR,1682283089
1,mount isa,-20.7333,139.5,21.87,43,40,3.09,AU,1682283106
2,carnarvon,-24.8667,113.6333,21.92,75,100,6.35,AU,1682283106
3,iqaluit,63.7506,-68.5145,0.85,86,100,4.63,CA,1682283106
4,pyay,18.8167,95.2167,27.98,65,29,2.8,MM,1682283106
5,west island,-12.1568,96.8225,26.99,89,40,4.12,CC,1682283106
6,nisia floresta,-6.0911,-35.2086,29.45,79,97,3.62,BR,1682283106
7,mouila,-1.8685,11.0559,24.45,90,100,0.72,GA,1682283106
8,papatowai,-46.5619,169.4708,9.23,63,46,8.74,NZ,1682283106
9,grytviken,-54.2811,-36.5092,3.64,97,100,5.34,GS,1682283107
10,port-aux-francais,-49.35,70.2167,3.98,63,44,14.43,TF,1682283107
11,pipar,26.3856,73.5378,25.12,16,0,3.47,IN,1682283107
12,ripon,54.1352,-1.5212,8.26,85,100,5.14,GB,1682283107
13,marshfield,44.6689,-90.1718,5.49,48,100,3.6,US,1682283107
14,newman,37.3138,-121.0208,25.69,48,45,2.24,US,1682283107
15,st. john's,47.5649,-52.7093,3.77,97,100,12.52,CA,1682283002
16,ulladulla,-35.35,150.4667,14.84,85,64,2.43,AU,1682283108
17,saldanha,-33.0117,17.9442,15.03,96,100,5.35,ZA,1682283108
18,quibala,-10.7337,14.98,18.58,94,100,0.94,AO,1682283108
19,blackmans bay,-43.0167,147.3167,7.07,88,44,2.58,AU,1682283108
20,isafjordur,66.0755,-23.124,1.53,65,69,2.26,IS,1682283108
21,ebon,4.582,168.6964,28.23,79,69,6.88,MH,1682283108
22,afaahiti,-17.75,-149.2833,25.93,86,100,7.48,PF,1682283108
23,lewiston orchards,46.3804,-116.9754,16.26,70,100,3.09,US,1682283108
24,longyearbyen,78.2186,15.6401,-8.09,67,0,3.6,SJ,1682283108
25,hamilton,39.1834,-84.5333,8.85,55,100,6.17,US,1682283108
26,campos belos,-13.0367,-46.7717,23.6,64,59,3.46,BR,1682283108
27,ketchikan,55.3422,-131.6461,8.26,87,100,3.6,US,1682283109
28,puerto natales,-51.7236,-72.4875,11.25,54,75,3.6,CL,1682283109
29,adamstown,-25.066,-130.1015,23.96,91,99,8.14,PN,1682283109
30,susuman,62.7833,148.1667,-5.96,86,100,4.69,RU,1682283109
31,hawaiian paradise park,19.5933,-154.9731,25.5,90,100,2.57,US,1682283109
32,sinabang,2.4803,96.3801,27.3,82,94,2.22,ID,1682283109
33,nuuk,64.1835,-51.7216,3.34,81,75,2.57,GL,1682283109
34,pandan,14.0453,124.1694,26.26,85,84,4.58,PH,1682283109
35,makhjan,17.2698,73.5003,23.25,84,39,0.56,IN,1682283109
36,batang,-6.4846,110.7083,25.91,81,100,1.91,ID,1682283109
37,bodo,67.28,14.405,-1.24,84,40,3.6,NO,1682283110
38,umluj,25.0213,37.2685,27.39,58,100,5.48,SA,1682283110
39,wailua homesteads,22.0669,-159.378,25.24,85,100,1.54,US,1682283110
40,sisimiut,66.9395,-53.6735,0.75,100,100,3.38,GL,1682283110
41,vorgashor,67.5833,63.95,-9.53,87,100,5.95,RU,1682283110
42,qaqortoq,60.7167,-46.0333,2.23,77,99,1.19,GL,1682283110
43,lerwick,60.1545,-1.1494,5.0,69,100,14.17,GB,1682283110
44,bethel,41.3712,-73.414,17.23,75,100,4.12,US,1682282920
45,marka,1.7159,44.7717,28.0,77,100,3.17,SO,1682283110
46,gizo,-8.103,156.8419,28.51,75,47,2.5,SB,1682283110
47,olyokminsk,60.3736,120.4264,-6.88,95,86,0.47,RU,1682283111
48,bilibino,68.0546,166.4372,-4.33,64,52,2.29,RU,1682283111
49,shengli,37.4564,118.4856,10.9,37,100,2.13,CN,1682283111
50,abancay,-13.6339,-72.8814,20.42,60,85,2.86,PE,1682283111
51,nar'yan-mar,67.6713,53.087,-8.18,90,25,6.4,RU,1682283111
52,edinburgh of the seven seas,-37.0676,-12.3116,17.24,81,100,13.25,SH,1682283111
53,port alfred,-33.5906,26.891,20.94,67,96,4.52,ZA,1682283111
54,melfort,52.8667,-104.6177,8.07,29,15,2.57,CA,1682283111
55,avarua,-21.2078,-159.775,26.03,65,28,4.12,CK,1682283111
56,conception bay south,47.4999,-52.9981,3.64,97,100,8.16,CA,1682283074
57,kavaratti,10.5669,72.642,28.44,71,95,4.5,IN,1682283112
58,stanley,54.868,-1.6985,5.99,83,40,6.17,GB,1682283112
59,saint-paul,-21.0096,55.2707,25.06,93,100,3.5,RE,1682283112
60,northam,51.0333,-4.2167,9.23,87,32,5.83,GB,1682283112
61,tazacorte,28.629,-17.9293,19.54,91,75,5.66,ES,1682283112
62,fort st. john,56.2499,-120.8529,5.94,87,100,4.12,CA,1682283112
63,merizo village,13.2658,144.6691,27.31,91,100,7.8,GU,1682283112
64,tiksi,71.6872,128.8694,-12.61,97,90,1.67,RU,1682283113
